cat_user_id,cat_comment_time,cat_user_name,cat_user_comment,cat_user_pic,cat_score
,2019-03-04,M47****530,最值得一去的广场，喷泉表演很好看，还有小吃,,
,2019-02-28,车载Z网,"南昌最有名的地方除了红色,，滕王阁，,之外，推荐最多的就是秋水广场了。为了看音乐喷泉特意晚餐后打的前往，结果到了才知道，最晚一场是8点半，已经结束了。不过高楼大厦的灯光秀还有，隔江远望了滕王阁，广场比较大，景色也算不错，也算不虚此行了。",,
,2019-02-19,安安静静,"赣,上一处免费公开的广场。看点在于，晚上会有音乐喷泉表演，春节期间去，人倒是不多。如果住在那,，晩上去看看，逛逛，倒是不错的选择。",,
,2019-02-15,鱼儿游2007,比邻赣江，和对面的滕王阁隔江相望。 开放式的广场上有亚洲最大的音乐喷泉。 是夜游南昌非常值得推荐的选择之一。白天这里的游人并不多，到了晚上，让这里多了几分温馨和浪漫。音乐喷泉一般每天晚上有两场，每场大概25分钟，路过的不要错过哟。,,
,2019-02-14,M10****044,"没有,的秋水广场太普通，音乐喷泉又没有开放，到此一游而已",,
,2019-02-14,M30****8312,去南昌必须去秋水广场，晚上7点多开始喷泉，建议做一号地铁线直达,,
,2019-02-11,M49****303,"我呸 辣鸡, 10次有11次不开",,
,2019-02-05,懒人旅游,"和滕王阁隔赣江相对，取秋水共长天一色的秋水二字，每天晚上都有音乐喷泉表演，,很美，,建设的挺好的。",,
,2019-01-25,汤圆小胖子,看南昌的夜景，最佳之地，一江两岸的全景。,,
,2019-01-18,ccpp,"与滕王阁隔江相望，再现了千古名篇《滕王阁序》中的“落霞与孤鹜齐飞，秋水共长天一色”的意境——秋水广场正是由此而得名；是一座以喷泉为主题，集旅游、购物、观光为一体的大型,。红谷滩秋水广场上音乐灯光喷泉引人注目，是亚洲最大的音乐喷泉群，喷水池面积1.2万平方米，主喷高度达128米，是南昌市一靓丽景观。人们可一边欣赏音乐一边观看滕王阁美景。",,
,2019-01-06,aijun000,"秋水广场在南昌市,的赣江之滨，利用荒滩兴建，既防洪，又观景，与滕王阁隔江相望，再现了千古名篇《滕王阁序》中的“落霞与孤鹜齐飞，秋水共长天一色”的意境，秋水广场有全亚最高最大的音乐喷泉群，可一边欣赏音乐一边观看滕王阁美景",,
,2019-01-02,坏猴子12138,很失望，说好的音乐喷泉呢？什么都没有！特别荒凉,,
,2018-12-31,行遍天下168168,漂亮啊，下次我还要去的，可以可以,,
,2018-12-16,wann5200,"秋水地铁站出站走几分钟就到了，对面是南昌的双子星（绿地集团），,点30分准时开始，好像20点30分还有一场，和音乐配合的很好，确实值得过去看看的。",,
,2018-12-13,_WeCh****207063,昨晚上去的，七点半一场，八点半一场，两场放的喷泉是不一样的，全场15分钟，最后的两分钟是最美得，喷泉的高度及变换的颜色都是最美的，开始第一场没拍到最美的视频所以等了第二场，感觉等的45分钟很值得。,,
,2018-12-11,行走的田小爬,南昌秋水广场很不错，音乐喷泉很漂亮，推荐来的地方,,
,2018-12-06,开心就好,"第三次来了，依然喜欢喷泉，但是,的环境不喜欢，都是美,，烧烤什么的，价格贵的要命，",,
,2018-12-02,雪0106,"这是南昌比较有名的广场，在赣,上，有沙滩，有江景，有供大家玩乐的各种游乐机，有美食一条街，晚上可以隔江看滕王阁的,辉煌，也可以看据说是亚洲最大的音乐喷泉，现在冬天，昨天晚上7:30开始，据说夏天是8:00开始。想看音乐喷泉，据说周末肯定会有，平时就不清楚了。音乐喷泉15分钟，狠值得看的，看完乘地铁一号线秋水广场站会人员爆满，,有高铁巴士2号线和公交17号线的秋水广场站。也可以乘的。",,
,2018-11-27,M27****7615,"2018.11.24～2018.11.28，南昌，我又来啦！哈哈刚好巧遇,首届国际文化节，在学校河边排椅上又等了你三天只想告诉你删了你我后悔了，如果再遇到我想和你做朋友。对了！你学校的菜好辣～",,
,2018-11-23,M23****706,"太漂亮了！不虚此行！值得一看的音乐喷泉 亚洲最大的音乐喷泉。 7点半一场表演，8点20左右一场表演。 中间的时间可以去沙滩玩。,沙滩，真惬意的美景",,
,2018-11-22,zipfire,"去南昌前就问了身边江西朋友，大力推荐我去南昌必然要去秋水广场，看看那里的音乐喷泉，据说是亚洲第一。其实真的去了，也就一般，我们几个在红谷滩,吃过晚饭，掐着点赶到秋水广场，总算运气不错，看到了整场喷泉，约莫20分钟左右，规模嘛也就一般而已，实在是和什么亚洲第一挂不上号……‍♂️",,
,2018-11-15,M22****2629,漂亮是很漂亮，喷泉因下雨没喷，还好有举办花展。,,
,2018-11-13,加菲城堡,还是抖音上吸引我的，就去了音乐喷泉，特别的壮观，去看的人挺多的，坐地铁去秋水广场，对面就是滕王阁，隔壁就是红谷滩，南昌之星，绿地中心.,,
,2018-11-10,听旧约,值得一去，但太早去要等很久，迟去又找不着位置。一天两场，一场15分钟。,,
,2018-11-06,M32****204,"来南昌必去的,。晚上有大型音乐喷泉。非常值得看。一江两岸，灯光秀，非常美",,
,2018-10-17,xu****369,很棒，看起来很不错的地方，喜欢的,,
,2018-10-07,慈悲慈悲,"这里值得去看，在赣,上。,很棒，尤其是那个喷泉值得一看",,
,2018-10-06,灵动未来,喷泉目前正在维护，具体恢复时间待通知,,
,2018-10-06,lix****1918,从下午3点等到晚上，告之在改造，没有看到喷泉。,,
,2018-10-05,_CFT01****7698599,趁着国庆假期来南昌玩玩，秋水广场本来早在第一天行程就安排上了，可是他却调试中，接下来几天都去看下有没有，却都始终在调试，也没看到什么工作人员，效率如此地下，人流量又这么大，真的是无语,,
,2018-10-04,M28****5074,目前秋水广场喷泉还在调试中，开放时间未定，大家注意通知啊！,,
,2018-10-02,lyq****619,这个国庆来南昌，奔着秋水广场音乐喷泉⛲️而来。。。。。可惜。。。没有开。。,,
,2018-10-02,Misssoda,中秋去的 结果喷泉居然没开 非常失望 只能沿着江走了一下 太遗憾了,,
,2018-09-27,_WeCh****682296,说秋水广场喷泉是亚洲最大的，应该去的地方比较少～这只是中型的……,,
