cat_user_id,cat_comment_time,cat_user_name,cat_user_comment,cat_user_pic,cat_score
,2019-03-02,_WeCh****167458,鱼跃龙门超好玩哈哈哈哈哈,,
,2019-02-28,阿龙,1不允许带任何食物进去，2景区里的餐食真又贵又不好吃！3很多设施不开，4里面增加了太多二次收费项目。4缺少互动性。,,
,2019-02-26,changstar,融创主题公园挺好玩的，非常不错。,,
,2019-02-17,噶伦堡夏侯霸,"大家千万不要冬天前往！！！整,子冷冷清清什么也没有。几乎每什么游客，很多设施不开，体验巨差，感觉买了张假票",,
,2019-02-14,M30****8312,"得了吧我2月12日去的，距离,很近，就在后面，隔壁万达茂，,坐车非常不方便，而且人烟稀少，谁去谁后悔，反正都是当地居民带孩子去的，旅客建议别去",,
,2019-02-12,徐霞客之旅,首度实现世界级主题乐园元素与中国传统文化的融合，多项设备全球专利、万达专属。南昌万达主题乐园由竹林秘境、云霄仙阁、鄱阳渔家、五彩瓷都、仙女奇缘、世外桃源六大主题区组成。,,
,2019-01-17,工匠,乐园没啥太大的特色，就玩乐项目和体验度来说，还可以，至少就票价来说，还是性价比算不错的。已经老了，连坐过山车都感觉吃不消了。只能晚一点不刺激的项目。,,
,2019-01-04,M55****808,"感觉很不错，玩的东西应有尽有。周日带女儿玩了一天，早上9:30门口排几溜长队直到10点才进园。然后又排队一个小时玩了凤舞九天，那几分钟的感觉真是好刺激接下来还玩了龙飞凤舞（实在惊险不建议小孩子玩）它像拧麻花一样打着滚的上蹿下跳，不愧号称国内最快的过山车，别说女儿连我都有点害怕咯后面我们还玩了神龙摆尾，,等等很多项目。尽管直到下午5点多才出园，也只是大概玩了三分之一，毕竟整,区...",,
,2019-01-03,_CFT0****5599,今天开放吗，，，，，，，，，，，,,
,2018-12-15,M60****234,整体还不错，地方很大，环境也很好，游玩的项目很多，建议平时去，可以省去很多等待的时间，项目太多最好分区选玩，下次再把没玩过的再补上,,
,2018-11-29,牧人丶C,淡季有半天就够了，我们是11月下旬去的，基本不用排队。没有预想的好。 进园前被园区外面的老太太忽悠买了雨衣，结果里面的水项目都不开放。 一进园区照相的套路太讨厌，穿的很正式，戴着万达工作证，说免费留纪念出园取照片，心里顿时对万达好感倍增，结果出来的时候先给你大照片收费30元，像素还超级不好，问他免费的呢，结果拿出来邮票大小一张说这是免费的。,,
,2018-11-25,浪尾吴亦凡,南昌最大的游乐园，带着小孩，感受儿时的快乐，体验刺激的感觉,,
,2018-11-22,等不到的以后,挺好的一个地方       人挺多,,
,2018-11-07,炫酷阿七,很多好玩的东西，设施齐全，绿色植被也有很多，服务态度也很不错，小哥哥小姐姐也会细心的提示我们。emmmm就是有的设施太早不运营了,,
,2018-11-03,M24****8385,大人带着4岁多的女儿去的，玩的都还挺开心,,
,2018-10-29,缓缓飘落的枫叶,"首先取票就遇到了很多麻烦，在网上订的票需要根据各个网站设置的独立站点取票，很麻烦，没有秩序，而且双人票和单人票还有,票并不是在一起取的，等于要排两次队取票。 进园区后太多另收费的项目了，完全影响体验感，最主要园区的服务态度也很差，园区人多很正常，有些工作人员实在是没耐心。",,
,2018-10-19,M24****7701,过生日和朋友一起去的 里面真的很好玩 项目很多很丰富 平日里去的没怎么排队 看到夜场票很实惠 所以下次想买夜场票去体验一下,,
,2018-10-15,自由自在在,地方不大国庆人多游乐项目孩子喜欢很多高空。飞行很刺激晚上喷泉很漂亮,,
,2018-10-10,M24****4253,值得去哦，特别是云霄过山车很过瘾哦！,,
,2018-10-08,changstar,非常好玩，挺不错的。,,
,2018-10-05,_WeCh****130239,排队的时间太长了。 时间都消耗在排队的上面，其他的都挺好的,,
,2018-10-04,_CFT0****7689,工作人员态度真的差，不愧是南昌人,,
,2018-10-04,静静,相对于万达海洋乐园而言，主题乐园好很多，同样，千万避开节假日，否则任何一个项目，排队一个小时是家常便饭！ 乐园本身环境不错，就是如果家有1.1米以下的小孩，奉劝各位就不要去了，因为基本没有可以游玩的项目(七彩世界除外，如果想玩，可以去专门的亲子乐园，比这里性价比高多了)! 1.1以下的小孩不能玩，究竟是真的为了小朋友的安全考虑？为何需要另外付费的卡丁车项目，就不会限制身高？只要付钱即可？ ...,,
,2018-10-03,青梅子306,恕我直言，有点点山寨的感觉，可能是因为第一次到三线城市玩主题乐园。不过有几个游艺项目孩子还挺喜欢的，比较刺激又不太害怕。,,
,2018-10-03,梦中人you,好玩，好刺激哟  元霄太恐怖了不敢玩。刚开始去玩丛林巨莽的时候有的时候，有个老外在我前面排了老半天的队最后伦到他的时候居然身高太高没让玩哈哈哈哈，白排了老半天。晚上灯光好美的,,
,2018-10-02,M28****0863,里很好玩，有很多很刺激，好玩的项目，比如竹林绿蟒，凤舞九天，直冲云霄，云霄飞车，鱼跃龙门等等，都是不可错过的挑战。,,
,2018-10-02,格雷罗苏洵,学生票的名字弄错要紧吗。。。。,,
,2018-09-30,M29****4654,人少夜场票可以玩完，还是挺不错的，喷泉也好看,,
,2018-09-27,M23****9909,三大过山车一定要去啊，最高，最快，最长，爽翻天了,,
,2018-09-17,jendyjj,还可以玩的东西挺多的，人也不是太多，每个游乐项目排队的人不多，可能是天太热有许多项目没有开，有点遗憾！,,
,2018-09-09,_gf406****101193,万达在全国范围内的主题乐园之一，各方面规划不错，就是暑假去人太多,,
,2018-09-01,拾柒丨,等待两小时就为两分钟，人特别多，风景挺好，一天最多也就玩10个项目，带水带水，里面的饮料特别贵，当然土豪随意，里面的丛林绿蟒可以试试，特刺激，当然心脏不好，别玩，,,
,2018-08-29,金融新星,刚开业去的，适合家人或朋友们一起去,,
,2018-08-28,M23****4355,万达乐园可以用学生证嘛，在线等，,,
,2018-08-15,_WB2****4565,我是初中学生，但是学校没发学生证，那可以打折吗？,,
,2018-08-15,m28****0101,"大多数项目过于危险，不适合,玩，花几百元去玩命不值得。不知道建这个游乐园的理念是什么？也许是宇航员培训的需要，或是用于拍电影。七彩天地适合儿童玩，但是项目不多。灯光秀不错。",,
,2018-08-13,M22****9001,去过一次就不会再去了。很多项目不开放，很多项目又要等很久。夏天去真的真的真的太晒了。,,
,2018-08-13,M28****6469,玩的项目够多，刺激的项目也有好几个，值得去玩，只是人多时候，排队够呛，天气太热的时候，水得带够，要不里面买水喝得花上百元了。,,
,2018-08-11,159****9622,"提前做好攻略，一天的时间足够了 一定要带足水和零食，景区里的物价你们懂得！这几天,极高，去的人不多没有排什么队，玩的时候会有点晒，弟弟坐最高的过山车有点冲血。喜欢玩刺激的人来说这是个好地方，要不然门票费就不成正比了。 乐园从开场舞到各方面，安排的都蛮合理，工作人员尽责，在安全检查上用了心。有的设施在维修就没开放，还有一些是运营商的得另外给钱，结果进去了没几分钟就出来了  希望大家...",,
,2018-08-08,西北,过山车非常刺激，各方面也都还可以，价格有点小贵,,
,2018-08-06,136****6061,"200多元，玩一天还是可以的。周日上午10点进的园，下午6点出来的，周末人确实多，一上午就玩了两样，其中一个,排了一个半小时的队，体验3分40秒，不过确实很刺激，心脏受不了啊，下午玩了一些小项目，感觉工作人员很敬业负责。建议大家入园后可先玩人少的，多往里面走，水一定要带够，每人两瓶是标配！里面5元一瓶。雨衣外面5元，里面10元，我买了也没用上，玩漂流要拍一个小时对，其实可以从地上检...",,
,2018-08-05,百合1203,周末新去处 景区项目众多，非常适合亲子游 但只要之前去过一些游乐场或风景区，会发现似曾相识却又东施效颦 不过乐趣还是很多的 小孩子应该会喜欢,,
,2018-08-04,ohh__,"去的时候人不多，一个小时就把在,需要一天的所有项目全部玩了个遍，几乎没有排队，个人感觉夏天的话夜场的性价比应该比较高点",,
,2018-08-03,U45435****981453,开张的时候就去过了，里面很大，玩的东西还是挺多的，就是好多都不敢玩,,
,2018-07-28,_CFT0****3794,云霄飞车很刺激，但需要一定胆量，我这次玩了两个挑战之旅，一个是直冲云霄很刺激，还有一个是神龙摆尾下次还要再来，挑战一下云霄飞车。,,
,2018-07-28,凭什么飞,中部地区最大的万达娱乐中心 设备齐全 吃喝完乐一条龙 就是交通不是很便利,,
,2018-07-28,M20****510,不是一般的热呀，汗一直在流，最高的过山车太过瘾了,,
,2018-07-27,新-云,"大热天玩这个游乐场，也是要奔溃的！不过第一次看到这么大的万达，跟,这种还是有一定差距，人气也一般。青花瓷的造型倒是老远就看得见。",,
,2018-07-27,M11****110,"地方挺大，直通地铁，,都有，带孩子可以玩一整天。",,
,2018-07-26,蒲公英的吹拂,"除了上文推荐的必玩活动，南昌万达乐园还是有几个适合夏天游园的项目的。,鱼跃龙门、峡谷漂流，前者暴爽，后者清凉是夏日游园必玩项目。,除此之外，南昌万达乐园还有个最透心冰爽的项目经常被大家忽视掉，那就是它的——梦幻冰雪大世界，零下18°让你直接一秒穿越到哈尔滨，感受冰天雪地的欢乐。",,
,2018-07-26,蒲公英的吹拂,"周六、周日晚上8点整时开始，三大主题夜趴分档上线将一直肆意嗨皮到8月下旬。这里多说一句，冰火趴开始之前，晚上7:30乐园会有大湖秀表演不容错过，喷泉、水幕、环绕音响、光影成像，绝对精彩！第一趴：荧光电音主题趴,时间：7月21-22日20:00-21:30,7月28-29日20:00-21:30荧光涂身，劲舞热歌，疯狂DJ，甚至连最猛的高台水枪都出动了。,另外，乐园还准备了趴体不可或缺的美食，味道也非常不错哦~~,*由于活动是...",共7张》,
,2018-07-26,蒲公英的吹拂,"上周六南昌万达乐园搞了个污papa泥浆浴不知道大家有没有去。活动从下午5点开始，用的是天然火山美肌泥，玩过的人都知道，什么美肌SPA,什么泥浆洗剪吹，什么浴泥拔河都只是调味品，最让小编惊喜的是这泥浆妥妥地够清凉啊，所以在现场就玩嗨了~~除了美肌泥浆浴，污papa接下来的两个主题也非常让人期待，不对，简直的无敌期待。,主题一号：污papa，番茄狂欢大战,活动时间：7月28日  17:00-18:00,活动地点：南昌...",共7张》,
,2018-07-22,两袋面,"里面有小孩子玩的，有大孩子玩的，更有大人玩的，什么年龄都们找到自己玩的，有一个,，还有一个据说最高的过山车，悬挂过山车，万圣节晚上还有cosplay，值得去一次",,
,2018-07-18,swaggyYs,"整个乐园很大，玩的设备也很多，觉得那个鬼屋一点也不吓人。,真的超级刺激，跳楼机真的这辈子不想玩第二次……真的很热",,
,2018-07-15,M23****8952,里面风景不错，设施也很多，就是可惜了上次去带着娃娃什么也没玩，下次还要去一次,,
,2018-07-14,M22****7400,"玩得好开心，蛮赞的，好多项目迪士尼都没有，,里就有，玩了三大过山车，漂流各种，看了俩个剧，反正我来的那天没啥人，dou没排队，每个项目都能玩好几遍了。",,
,2018-07-13,E36****31,在南昌算是一个比较好玩的地方，价格较贵，尤其对南昌的消费来说，真的不便宜,,
,2018-07-09,M24****7113,果然没让我失望  大棒锤朋友玩了3次 这次去没看见什么表演 可能因为暑期 没那么多人 各项游玩的都没有排好久的队,,
,2018-07-07,M23****1944,可以去玩玩，蛮好玩的，就是周末人比较多！,,
,2018-06-30,慵懒呀,去的话，感觉过山车是一定要尝试的，其余的小项目，我觉得没啥特别的，而且主要是，最高的那个过山车尝试了之后，体力消耗很快，其余的项目不会很想去玩 。。,,
,2018-06-23,E39****96,还好吧，有点贵，离市区比较远！,,
,2018-06-22,M22****9823,116cm高的孩子是不是很多项目不能玩？,,
,2018-06-15,M23****8560,中国最高的过山车，全国最大的木制过山车,,
,2018-06-14,_WeCh****577107,玩了很多项目，唯一不好的地方是它不够明确，有的停止运行或还未开放，容易白跑,,
,2018-06-13,_WeCh****321771,一天差不多玩个5个差不多  里面东西卖的很贵,,
,2018-06-08,_WeCh****589785,非常刺激，小朋友玩得更是嗨了，上次是寒假去的，暑假再去玩一次水上项目,,
,2018-06-05,M40****124,挺好玩的  就是人有点多  要排队,,
,2018-06-04,笨哒笨,超级好玩的，还有2大过山车没坐，下次去一定坐，直冲云霄和云霄飞车真的超级的爽。,,
,2018-06-02,M13****582,好玩的项目蛮多，小朋友年纪小了好多玩不了，晚上的表演不错。,,
,2018-05-26,卓卓,过节去人真是多，可能孩子那个时候都放假有时间，如果不是上学，真建议大家平时去。过节排队排2个小时可怕,,
,2018-05-24,M23****9523,"去年9月份去过了，游乐园设备提齐全的，孩子们玩的很高兴，今年打算再游览，游乐园景色宜人，,卫生干净，环境优美，是孩子们游玩的首选之一",,
